Start,Stop,Midpoint
"(41, 75)","(65, 17)","(49, 42)"
"(74, 2)","(16, 177)","(36, 80)"
"(24, 204)","(17, 21)","(21, 112)"
"(240, 223)","(34, 195)","(140, 206)"
"(210, 158)","(239, 138)","(220, 144)"
"(126, 62)","(248, 157)","(189, 107)"
"(209, 74)","(113, 150)","(160, 111)"
"(12, 89)","(172, 213)","(100, 143)"
"(120, 4)","(33, 193)","(81, 103)"
"(68, 144)","(146, 18)","(114, 88)"
"(134, 216)","(49, 111)","(94, 161)"
"(88, 29)","(40, 44)","(69, 41)"
"(36, 107)","(169, 40)","(105, 76)"
"(34, 136)","(216, 110)","(128, 126)"
"(39, 254)","(119, 203)","(67, 217)"
"(75, 11)","(110, 189)","(82, 110)"
"(84, 239)","(42, 87)","(76, 150)"
"(115, 88)","(244, 36)","(165, 48)"
"(108, 9)","(141, 223)","(122, 118)"
"(102, 64)","(244, 160)","(186, 99)"
"(90, 95)","(34, 4)","(47, 65)"
"(3, 90)","(141, 25)","(76, 62)"
"(42, 108)","(22, 52)","(37, 75)"
"(46, 132)","(222, 20)","(125, 67)"
"(124, 246)","(224, 201)","(156, 206)"
"(120, 10)","(143, 157)","(142, 73)"
"(7, 89)","(243, 178)","(104, 154)"
"(107, 92)","(76, 100)","(88, 92)"
"(73, 107)","(110, 133)","(83, 128)"
"(94, 169)","(103, 82)","(99, 126)"
"(210, 189)","(122, 13)","(169, 98)"
"(244, 93)","(7, 141)","(107, 98)"
"(105, 23)","(161, 94)","(142, 49)"
"(98, 28)","(72, 119)","(84, 72)"
"(68, 39)","(184, 144)","(145, 72)"
"(118, 197)","(31, 218)","(82, 215)"
"(3, 139)","(185, 214)","(91, 179)"
"(46, 188)","(120, 124)","(72, 145)"
"(209, 21)","(82, 71)","(152, 52)"
"(126, 50)","(251, 56)","(191, 50)"
"(148, 30)","(121, 10)","(127, 28)"
"(152, 57)","(201, 150)","(181, 99)"
"(164, 199)","(38, 226)","(98, 209)"
"(83, 19)","(187, 226)","(161, 96)"
"(158, 251)","(186, 4)","(165, 121)"
"(253, 53)","(235, 110)","(243, 80)"
"(141, 184)","(160, 224)","(145, 209)"
"(48, 240)","(120, 201)","(81, 218)"
"(169, 229)","(56, 16)","(107, 128)"
"(27, 231)","(159, 157)","(91, 192)"
"(227, 45)","(151, 67)","(180, 47)"
"(85, 124)","(158, 60)","(124, 95)"
"(251, 120)","(229, 232)","(229, 165)"
"(245, 252)","(220, 142)","(234, 196)"
"(83, 68)","(209, 226)","(127, 166)"
"(162, 239)","(111, 72)","(137, 155)"
"(18, 82)","(93, 235)","(76, 138)"
"(161, 150)","(130, 33)","(151, 86)"
"(236, 248)","(208, 255)","(222, 251)"
"(129, 37)","(122, 130)","(128, 86)"
"(146, 35)","(10, 10)","(79, 22)"
"(103, 41)","(1, 91)","(54, 68)"
"(29, 171)","(135, 110)","(78, 137)"
"(78, 166)","(49, 243)","(62, 203)"
"(163, 81)","(110, 197)","(111, 114)"
"(210, 155)","(203, 70)","(209, 110)"
"(198, 11)","(159, 149)","(165, 66)"
"(113, 244)","(255, 35)","(198, 154)"
"(44, 146)","(116, 253)","(98, 181)"
"(230, 21)","(209, 254)","(227, 145)"
"(209, 126)","(210, 53)","(209, 89)"
"(155, 117)","(253, 137)","(200, 131)"
"(244, 204)","(140, 113)","(175, 176)"
"(248, 61)","(5, 106)","(127, 84)"
"(7, 207)","(248, 24)","(119, 107)"
"(192, 156)","(11, 51)","(106, 99)"
"(230, 212)","(6, 94)","(111, 160)"
"(110, 205)","(170, 60)","(113, 107)"
"(215, 120)","(53, 195)","(148, 171)"
"(167, 94)","(111, 148)","(142, 124)"
"(32, 110)","(248, 71)","(144, 95)"
"(181, 224)","(98, 54)","(116, 163)"
"(240, 245)","(74, 121)","(159, 181)"
"(117, 101)","(58, 198)","(79, 141)"
"(64, 205)","(216, 253)","(140, 229)"
"(188, 232)","(169, 166)","(179, 199)"
"(129, 179)","(236, 63)","(195, 134)"
"(175, 33)","(125, 215)","(143, 117)"
"(103, 79)","(120, 191)","(104, 142)"
"(13, 206)","(36, 114)","(28, 164)"
"(243, 159)","(236, 242)","(239, 200)"
"(52, 191)","(43, 73)","(52, 128)"
"(82, 149)","(53, 153)","(68, 151)"
"(132, 10)","(221, 90)","(154, 72)"
"(169, 102)","(81, 34)","(133, 60)"
"(139, 164)","(77, 134)","(103, 154)"
"(134, 158)","(216, 111)","(186, 146)"
"(241, 152)","(15, 233)","(112, 176)"
"(208, 68)","(178, 163)","(197, 119)"
"(138, 61)","(17, 55)","(77, 59)"
"(72, 96)","(40, 36)","(52, 70)"
"(88, 128)","(148, 157)","(115, 145)"
"(76, 68)","(87, 183)","(77, 130)"
"(59, 90)","(190, 85)","(123, 86)"
"(30, 125)","(128, 106)","(73, 110)"
"(164, 76)","(61, 25)","(130, 33)"
"(142, 224)","(132, 178)","(140, 198)"
"(13, 163)","(86, 192)","(47, 180)"
"(214, 239)","(22, 113)","(128, 166)"
"(205, 223)","(87, 190)","(149, 204)"
"(146, 122)","(200, 112)","(171, 115)"
"(204, 123)","(123, 238)","(166, 183)"
"(2, 225)","(111, 134)","(61, 184)"
"(198, 98)","(178, 35)","(182, 73)"
"(177, 191)","(31, 105)","(103, 149)"
"(246, 246)","(193, 107)","(231, 165)"
"(7, 172)","(74, 160)","(36, 162)"
"(132, 224)","(86, 91)","(101, 166)"
"(175, 87)","(186, 205)","(176, 150)"
"(246, 96)","(198, 15)","(221, 57)"
"(252, 25)","(143, 160)","(209, 104)"
"(206, 243)","(158, 227)","(190, 227)"
"(103, 229)","(204, 191)","(148, 205)"
"(132, 132)","(29, 10)","(69, 83)"
"(81, 174)","(135, 179)","(107, 177)"
"(223, 56)","(115, 205)","(185, 146)"
"(8, 147)","(40, 192)","(21, 172)"
"(184, 223)","(136, 181)","(158, 204)"
"(32, 172)","(78, 84)","(52, 125)"
"(96, 161)","(69, 67)","(77, 120)"
"(15, 101)","(254, 209)","(123, 166)"
"(22, 164)","(40, 191)","(29, 179)"
"(248, 52)","(181, 163)","(213, 106)"
"(20, 172)","(87, 155)","(45, 155)"
"(52, 12)","(106, 224)","(82, 115)"
"(77, 136)","(94, 16)","(81, 72)"
"(37, 128)","(77, 1)","(41, 49)"
"(162, 194)","(123, 145)","(145, 167)"
"(110, 40)","(52, 195)","(78, 114)"
"(153, 162)","(49, 64)","(86, 128)"
"(145, 33)","(122, 45)","(134, 39)"
"(48, 208)","(204, 168)","(114, 176)"
"(103, 90)","(140, 45)","(121, 67)"
"(102, 222)","(34, 140)","(78, 171)"
"(183, 255)","(78, 229)","(118, 255)"
"(49, 40)","(29, 82)","(41, 63)"
"(195, 227)","(131, 188)","(164, 207)"
"(75, 14)","(150, 245)","(100, 142)"
"(24, 60)","(113, 22)","(61, 34)"
"(18, 106)","(232, 56)","(139, 95)"
"(131, 103)","(254, 172)","(199, 131)"
"(241, 18)","(94, 146)","(152, 66)"
"(148, 244)","(173, 131)","(164, 191)"
"(84, 220)","(194, 68)","(111, 116)"
"(235, 33)","(182, 245)","(199, 129)"
"(38, 46)","(88, 2)","(67, 28)"
"(224, 9)","(144, 229)","(199, 134)"
"(150, 237)","(160, 78)","(160, 163)"
"(28, 182)","(160, 249)","(92, 217)"
"(25, 147)","(176, 133)","(99, 139)"
"(220, 71)","(47, 220)","(102, 114)"
"(126, 32)","(249, 250)","(197, 131)"
"(181, 16)","(61, 109)","(126, 67)"
"(128, 12)","(143, 209)","(130, 116)"
"(168, 70)","(65, 80)","(112, 70)"
"(145, 30)","(65, 2)","(116, 5)"
"(133, 169)","(73, 97)","(95, 141)"
"(156, 139)","(115, 22)","(151, 65)"
"(185, 136)","(230, 30)","(214, 90)"
"(84, 221)","(238, 157)","(163, 191)"
"(244, 135)","(76, 11)","(153, 80)"
"(219, 47)","(122, 49)","(171, 48)"
"(76, 130)","(205, 22)","(146, 82)"
"(170, 111)","(6, 105)","(88, 108)"
"(209, 155)","(227, 93)","(222, 128)"
"(25, 77)","(91, 34)","(56, 54)"
"(171, 240)","(120, 43)","(160, 127)"
"(151, 246)","(23, 249)","(88, 248)"
"(222, 248)","(148, 134)","(178, 198)"
"(90, 31)","(241, 130)","(162, 84)"
"(159, 132)","(103, 182)","(131, 157)"
"(217, 247)","(183, 24)","(198, 138)"
"(211, 51)","(37, 101)","(118, 70)"
"(233, 172)","(107, 202)","(169, 186)"
"(115, 62)","(236, 195)","(189, 115)"
"(174, 171)","(60, 225)","(122, 203)"
"(166, 43)","(98, 247)","(107, 120)"
"(182, 100)","(173, 182)","(176, 139)"
"(159, 165)","(82, 20)","(151, 62)"
"(131, 129)","(5, 252)","(62, 184)"
"(157, 201)","(80, 216)","(117, 207)"
"(125, 114)","(49, 205)","(77, 149)"
"(126, 121)","(239, 59)","(176, 84)"
"(230, 225)","(227, 190)","(230, 206)"
"(217, 53)","(78, 112)","(147, 82)"
"(104, 99)","(89, 79)","(96, 90)"
"(225, 39)","(129, 153)","(179, 98)"
"(159, 205)","(12, 244)","(76, 215)"
"(152, 235)","(59, 166)","(110, 196)"
"(223, 79)","(5, 84)","(115, 83)"
"(99, 27)","(10, 249)","(37, 120)"
"(180, 123)","(115, 55)","(154, 83)"
"(28, 44)","(254, 37)","(143, 41)"
"(66, 84)","(183, 21)","(132, 60)"
"(122, 9)","(18, 205)","(67, 104)"
"(80, 88)","(26, 61)","(51, 77)"
"(123, 182)","(110, 217)","(111, 194)"
"(110, 228)","(193, 179)","(153, 205)"
"(123, 210)","(157, 234)","(139, 223)"
"(163, 154)","(42, 186)","(109, 176)"
"(6, 199)","(36, 231)","(12, 224)"
"(146, 253)","(10, 227)","(77, 241)"
"(231, 249)","(104, 127)","(170, 186)"
"(146, 133)","(221, 198)","(167, 182)"
"(84, 60)","(96, 182)","(84, 127)"
"(150, 46)","(228, 181)","(189, 113)"
"(18, 42)","(241, 54)","(131, 46)"
"(69, 26)","(55, 153)","(54, 82)"
"(125, 66)","(64, 44)","(97, 53)"
"(228, 224)","(48, 63)","(118, 164)"
"(158, 129)","(159, 107)","(158, 118)"
"(161, 32)","(46, 63)","(102, 46)"
"(124, 151)","(103, 241)","(109, 191)"
"(159, 37)","(76, 25)","(117, 32)"
"(136, 172)","(214, 69)","(191, 137)"
"(212, 166)","(61, 153)","(130, 166)"
"(112, 206)","(93, 175)","(102, 191)"
"(238, 19)","(180, 102)","(222, 73)"
"(217, 35)","(25, 87)","(117, 57)"
"(211, 171)","(219, 30)","(219, 105)"
"(188, 197)","(224, 240)","(202, 222)"
"(176, 62)","(159, 128)","(161, 88)"
"(243, 114)","(8, 97)","(133, 98)"
"(156, 216)","(185, 95)","(167, 152)"
"(24, 185)","(179, 208)","(93, 205)"
"(184, 86)","(103, 102)","(145, 95)"
"(208, 161)","(105, 90)","(175, 107)"
"(206, 128)","(255, 188)","(231, 157)"
"(89, 25)","(192, 10)","(146, 23)"
"(72, 24)","(186, 76)","(136, 43)"
"(115, 8)","(117, 250)","(108, 130)"
"(14, 64)","(121, 7)","(64, 32)"
"(65, 100)","(31, 200)","(35, 137)"
"(138, 60)","(54, 155)","(103, 114)"
"(124, 174)","(27, 177)","(77, 177)"
"(119, 86)","(160, 63)","(147, 82)"
"(245, 226)","(46, 96)","(140, 167)"
"(219, 44)","(71, 97)","(134, 59)"
"(220, 108)","(139, 63)","(167, 98)"
"(151, 62)","(155, 12)","(154, 38)"
"(170, 155)","(57, 245)","(127, 213)"
"(85, 42)","(29, 103)","(57, 72)"
"(187, 65)","(84, 37)","(143, 44)"
"(232, 181)","(195, 164)","(207, 179)"
"(50, 70)","(110, 239)","(86, 148)"
"(231, 23)","(72, 198)","(129, 88)"
"(123, 105)","(104, 158)","(107, 125)"
"(83, 28)","(62, 68)","(80, 55)"
"(36, 242)","(165, 245)","(99, 245)"
"(235, 67)","(184, 66)","(210, 66)"
"(172, 89)","(97, 131)","(122, 97)"
"(168, 136)","(51, 153)","(104, 139)"
"(136, 1)","(172, 126)","(151, 66)"
"(38, 117)","(121, 199)","(86, 151)"
"(226, 1)","(241, 243)","(229, 126)"
"(237, 121)","(57, 167)","(132, 129)"
"(71, 199)","(170, 127)","(130, 173)"
"(168, 60)","(157, 83)","(161, 70)"
"(145, 130)","(235, 223)","(177, 189)"
"(105, 176)","(158, 169)","(132, 173)"
"(131, 192)","(197, 50)","(172, 129)"
"(183, 63)","(220, 179)","(194, 128)"
"(177, 56)","(173, 94)","(173, 73)"
"(18, 235)","(30, 71)","(21, 150)"
"(184, 32)","(49, 213)","(108, 114)"
"(31, 106)","(23, 110)","(27, 108)"
"(237, 99)","(141, 132)","(193, 119)"
"(97, 1)","(243, 59)","(155, 45)"
"(151, 230)","(9, 239)","(79, 233)"
"(211, 14)","(130, 16)","(172, 16)"
"(34, 242)","(169, 185)","(97, 209)"
"(233, 122)","(158, 198)","(201, 165)"
"(178, 42)","(52, 48)","(116, 45)"
"(143, 176)","(153, 112)","(150, 146)"
"(15, 51)","(210, 215)","(100, 145)"
"(118, 204)","(57, 175)","(86, 191)"
"(97, 53)","(103, 18)","(103, 39)"
"(156, 133)","(160, 9)","(156, 69)"
"(13, 96)","(219, 42)","(115, 68)"
"(239, 240)","(84, 134)","(166, 183)"
"(13, 16)","(142, 124)","(64, 83)"
"(168, 140)","(170, 153)","(169, 146)"
"(41, 78)","(112, 27)","(84, 60)"
"(80, 238)","(98, 142)","(98, 199)"
"(12, 189)","(29, 155)","(20, 172)"
"(128, 90)","(134, 105)","(131, 97)"
"(80, 252)","(55, 47)","(76, 141)"
"(51, 133)","(234, 42)","(122, 67)"
"(92, 154)","(112, 163)","(104, 156)"
"(91, 97)","(176, 46)","(145, 83)"
"(91, 125)","(219, 135)","(160, 125)"
"(220, 166)","(62, 61)","(144, 111)"
"(252, 225)","(129, 75)","(210, 131)"
"(201, 140)","(167, 4)","(170, 86)"
"(186, 67)","(186, 27)","(186, 47)"
"(173, 96)","(151, 166)","(156, 125)"
"(108, 235)","(156, 122)","(140, 187)"
"(140, 14)","(202, 221)","(167, 121)"
"(145, 244)","(154, 93)","(153, 171)"
"(94, 249)","(65, 44)","(76, 150)"
"(80, 194)","(210, 100)","(163, 165)"
"(235, 252)","(50, 202)","(164, 206)"
"(151, 239)","(196, 255)","(167, 253)"
"(185, 63)","(170, 220)","(170, 134)"
"(4, 95)","(43, 21)","(20, 55)"
"(218, 169)","(182, 249)","(208, 217)"
"(232, 47)","(210, 243)","(227, 151)"
"(207, 42)","(98, 49)","(149, 41)"
"(68, 37)","(34, 212)","(39, 112)"
"(35, 223)","(110, 73)","(77, 153)"
"(216, 146)","(92, 224)","(163, 194)"
"(145, 57)","(186, 107)","(163, 84)"
"(76, 175)","(125, 112)","(86, 129)"
"(184, 233)","(235, 194)","(220, 224)"
"(176, 47)","(54, 38)","(112, 46)"
"(96, 108)","(20, 135)","(62, 125)"
"(3, 113)","(177, 173)","(86, 147)"
"(6, 119)","(132, 50)","(68, 84)"
"(244, 234)","(109, 152)","(176, 194)"
"(152, 187)","(24, 153)","(104, 154)"
"(156, 232)","(107, 66)","(129, 152)"
"(82, 184)","(104, 151)","(99, 174)"
"(234, 145)","(226, 244)","(232, 197)"
"(150, 104)","(202, 124)","(182, 108)"
"(96, 51)","(45, 144)","(70, 97)"
"(33, 36)","(27, 190)","(34, 115)"
"(141, 118)","(69, 49)","(97, 92)"
"(152, 49)","(66, 77)","(106, 60)"
"(242, 247)","(143, 138)","(190, 195)"
"(184, 70)","(1, 139)","(90, 102)"
"(35, 66)","(178, 32)","(114, 57)"
"(144, 77)","(237, 17)","(173, 30)"
"(47, 156)","(102, 252)","(76, 202)"
"(60, 155)","(198, 245)","(126, 203)"
"(88, 163)","(229, 81)","(132, 96)"
"(112, 96)","(70, 162)","(91, 129)"
"(127, 209)","(197, 120)","(163, 166)"
"(36, 198)","(189, 66)","(98, 118)"
"(67, 201)","(203, 224)","(141, 206)"
"(206, 10)","(216, 89)","(209, 51)"
"(134, 250)","(25, 117)","(97, 166)"
"(104, 136)","(211, 77)","(146, 95)"
"(44, 80)","(160, 198)","(98, 143)"
"(197, 194)","(248, 169)","(229, 188)"
"(148, 101)","(48, 19)","(102, 56)"
"(244, 57)","(51, 177)","(127, 96)"
"(1, 236)","(188, 65)","(82, 138)"
"(227, 237)","(211, 156)","(214, 202)"
"(109, 225)","(14, 118)","(73, 160)"
"(19, 81)","(71, 124)","(49, 98)"
"(117, 55)","(5, 122)","(52, 79)"
"(73, 252)","(138, 138)","(106, 196)"
"(202, 189)","(229, 61)","(227, 137)"
"(3, 255)","(24, 61)","(15, 160)"
"(250, 68)","(97, 77)","(171, 70)"
"(41, 128)","(5, 53)","(16, 98)"
"(185, 116)","(139, 183)","(166, 153)"
"(19, 26)","(89, 237)","(71, 114)"
"(86, 20)","(192, 80)","(142, 47)"
"(71, 14)","(224, 210)","(109, 150)"
"(79, 212)","(87, 176)","(79, 190)"
"(110, 242)","(4, 224)","(57, 233)"
"(135, 250)","(250, 238)","(193, 245)"
"(74, 62)","(21, 40)","(51, 48)"
"(107, 238)","(225, 21)","(129, 93)"
"(147, 207)","(241, 97)","(196, 154)"
"(145, 144)","(161, 169)","(155, 154)"
"(73, 41)","(71, 247)","(77, 145)"
"(156, 235)","(187, 156)","(164, 188)"
"(151, 129)","(93, 103)","(114, 124)"
"(53, 161)","(158, 235)","(106, 197)"
"(184, 247)","(81, 193)","(135, 218)"
"(203, 35)","(190, 211)","(202, 128)"
"(32, 154)","(141, 183)","(101, 154)"
"(101, 160)","(113, 26)","(109, 95)"
"(174, 44)","(70, 32)","(121, 39)"
"(194, 79)","(112, 113)","(141, 84)"
"(217, 7)","(105, 188)","(146, 82)"
"(192, 188)","(199, 191)","(195, 190)"
"(230, 83)","(6, 202)","(98, 122)"
"(181, 226)","(71, 135)","(140, 167)"
"(205, 220)","(180, 116)","(197, 164)"
"(39, 117)","(62, 100)","(49, 107)"
"(52, 210)","(111, 9)","(77, 105)"
"(190, 189)","(191, 69)","(191, 130)"
"(81, 175)","(217, 145)","(159, 170)"
"(15, 64)","(65, 206)","(22, 153)"
"(253, 57)","(30, 25)","(142, 41)"
"(191, 133)","(199, 56)","(197, 97)"
"(91, 143)","(215, 249)","(166, 183)"
"(44, 236)","(147, 159)","(90, 192)"
"(94, 132)","(164, 126)","(130, 130)"
"(21, 200)","(14, 201)","(18, 201)"
"(35, 63)","(117, 44)","(71, 49)"
"(193, 70)","(8, 167)","(99, 117)"
"(184, 164)","(118, 184)","(148, 171)"
"(216, 173)","(231, 119)","(227, 150)"
"(35, 115)","(62, 183)","(52, 145)"
"(129, 248)","(35, 47)","(83, 147)"
"(243, 147)","(136, 128)","(196, 131)"
"(115, 138)","(246, 48)","(202, 115)"
"(74, 162)","(142, 143)","(117, 162)"
"(9, 47)","(163, 65)","(83, 59)"
"(195, 48)","(43, 36)","(115, 46)"
"(250, 211)","(161, 115)","(184, 185)"
"(142, 218)","(137, 40)","(142, 127)"
"(97, 23)","(11, 239)","(39, 116)"
"(123, 245)","(184, 42)","(165, 155)"
"(46, 97)","(14, 79)","(28, 90)"
"(201, 89)","(195, 78)","(199, 83)"
"(206, 234)","(189, 82)","(202, 154)"
"(89, 104)","(166, 220)","(123, 166)"
"(118, 4)","(194, 2)","(156, 3)"
"(109, 102)","(181, 183)","(121, 166)"
"(93, 133)","(14, 197)","(43, 154)"
"(2, 244)","(164, 89)","(77, 161)"
"(232, 163)","(119, 216)","(167, 181)"
"(23, 160)","(62, 6)","(38, 79)"
"(48, 92)","(249, 99)","(148, 96)"
"(127, 40)","(14, 107)","(65, 68)"
